,ListingKey,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanKey,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,LoanOriginationQuarterNew
52620,E5923401952503299C1E4BB,208687,2007-09-29 16:08:03.420,AA,36,Chargedoff,2010-04-01 00:00:00,0.14709,0.14,0.13,,,,,,,3,KY,Skilled Labor,Full-time,193.0,True,False,,2008-07-17 19:47:45.590000000,800.0,819.0,1991-10-03 00:00:00,7.0,6.0,10.0,4,49.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,940.0,0.12,6635.0,10.0,0.8,0.0,0.22,"$25,000-49,999",True,2500.0,CCFE34266259450331BB546,,,,,,,,,1561,20.0,68,34894,15000,2008-07-31 00:00:00.000,Q3 2008,A54A337916247017880FBA5,512.66,7689.9,5496.85,2193.05,-156.65,0.0,9503.15,9503.15,0.0,1.0,0,0,0.0,290,
57717,FEEA34013307541623FA285,209979,2007-10-02 14:35:37.043,AA,36,Completed,2009-10-14 00:00:00,0.0768,0.07,0.07,,,,,,,4,AK,Accountant/CPA,Full-time,55.0,True,False,,2008-02-04 17:01:32.617000000,760.0,779.0,1998-09-14 00:00:00,11.0,11.0,34.0,6,223.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,17278.0,0.27,45683.0,31.0,1.0,1.0,0.23,"$50,000-74,999",True,5833.333333,BA8634139064976601076CD,,,,,,,,,0,,73,27596,2500,2008-02-20 00:00:00.000,Q1 2008,87393400880642480196F81,77.19,2667.95,2500.0,167.95,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,110,
113137,D9393401161294939D01453,210154,2007-10-02 20:00:58.293,A,36,Chargedoff,2010-02-24 00:00:00,0.23839000000000002,0.2309,0.2209,,,,,,,3,FL,Retail Management,Full-time,53.0,True,False,,2008-09-08 06:53:24.057000000,740.0,759.0,2001-07-10 00:00:00,8.0,8.0,20.0,5,755.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,127522.0,0.94,7761.0,18.0,0.94,0.0,0.16,"$100,000+",True,14166.666667,F71F3432893436339A45C94,,,,,,,,,1599,17.0,66,36933,25000,2008-09-23 00:00:00.000,Q3 2008,E2893386377997541244420,968.92,11627.04,6519.23,5107.81,-221.21,0.0,18480.77,18480.77,0.0,1.0,0,0,0.0,184,
76622,C88034025402513276C7C89,211162,2007-10-04 16:36:35.783,E,36,Completed,2011-01-23 00:00:00,0.33593,0.32,0.31,,,,,,,3,GA,Professional,Full-time,36.0,False,False,,2008-01-08 18:58:02.457000000,580.0,599.0,1997-09-04 00:00:00,10.0,10.0,40.0,8,189.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,4241.0,0.99,35.0,28.0,0.82,1.0,0.15,"$25,000-49,999",True,3750.0,A160341195936575891DE08,,,,,,,,,0,,74,26245,3500,2008-01-23 00:00:00.000,Q1 2008,5D173401270096603854C11,105.78,5504.5,3500.03,2004.47,-62.64,0.0,0.0,0.0,0.0,1.0,0,0,0.0,48,
108291,E37F340172320932720200E,213324,2007-10-09 14:13:44.820,C,36,Completed,2009-06-03 00:00:00,0.21975,0.21,0.2,,,,,,,7,FL,Teacher,Full-time,0.0,False,False,,2008-09-05 13:53:57.900000000,640.0,659.0,2002-08-13 00:00:00,11.0,9.0,14.0,5,189.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7106.0,0.94,350.0,13.0,0.92,0.0,,"$25,000-49,999",False,3416.666667,853734332178334173EFBD5,,,,,,,,,0,,66,37019,1900,2008-09-24 00:00:00.000,Q3 2008,27EA34024878452239DB848,71.58,2154.28,1900.0,254.28,-12.11,0.0,0.0,0.0,0.0,1.0,0,0,0.0,78,
20878,6A0234029294836324E9353,217969,2007-10-18 19:50:51.803,A,36,Completed,2010-12-07 00:00:00,0.1013,0.0944,0.0844,,,,,,,4,CA,Sales - Retail,Part-time,31.0,False,False,,2008-03-03 12:47:01.120000000,740.0,759.0,2005-10-04 00:00:00,2.0,2.0,2.0,2,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,133.0,0.03,3467.0,2.0,1.0,0.0,0.17,"$1-24,999",True,816.666667,F58A3415692981287F7F0EC,,,,,,,,,0,,72,28649,3500,2008-03-19 00:00:00.000,Q1 2008,D0AD34036547110226A847F,112.02,3960.78,3499.98,460.8,-48.82,0.0,0.0,0.0,0.0,1.0,0,0,0.0,158,
15613,1B7A3402948527196C17DB2,222550,2007-10-28 19:19:52.273,D,36,Defaulted,2009-04-18 00:00:00,0.19931,0.192,0.182,,,,,,,3,TN,Executive,Full-time,64.0,True,False,,2008-06-09 13:47:35.700000000,620.0,639.0,1993-12-01 00:00:00,19.0,15.0,49.0,9,1759.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,101086.0,0.86,5238.0,42.0,1.0,2.0,0.22,"$100,000+",True,12600.666667,DC883423140641993C14F9F,,,,,,,,,365,10.0,69,33014,7500,2008-06-18 00:00:00.000,Q2 2008,A68934036502186995AE47A,275.68,1363.4,783.44,579.96,-30.21,-75.0,6716.56,6716.56,407.35,1.0,0,0,0.0,222,
16182,53D73403058330803231422,224893,2007-11-02 10:19:42.307,A,36,Completed,2009-04-01 00:00:00,0.11596,0.109,0.099,,,,,,,4,NE,Computer Programmer,Part-time,8.0,False,False,,2008-01-10 09:49:13.450000000,720.0,739.0,2004-07-01 00:00:00,7.0,6.0,10.0,5,70.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1386.0,0.18,6024.0,10.0,0.9,0.0,0.17,"$1-24,999",True,1833.3333329999998,C3933411855860314EAD287,,,,,,,,,0,,74,26175,5000,2008-01-23 00:00:00.000,Q1 2008,F9B53403712459418EA4496,163.46,5487.73,5000.0,487.73,-44.75,0.0,0.0,0.0,0.0,1.0,1,0,0.0,164,
87225,E7623403317071644938282,225935,2007-11-04 16:55:16.500,C,36,Completed,2010-09-14 00:00:00,0.10692,0.1,0.09,,,,,,,3,TX,Accountant/CPA,Full-time,2.0,False,False,,2008-07-11 17:37:03.947000000,660.0,679.0,1999-11-07 00:00:00,16.0,14.0,29.0,7,263.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11285.0,0.82,2244.0,25.0,0.88,0.0,0.26,"$25,000-49,999",True,3775.0,F2E43427498599044D9CA78,1.0,19.0,19.0,0.0,0.0,2000.0,898.34,40.0,0,,68,34376,5000,2008-07-22 00:00:00.000,Q3 2008,F200336763929713516B4A7,161.34,5732.21,5000.0,732.21,-73.22,0.0,0.0,0.0,0.0,1.0,0,0,0.0,147,
106375,643C3405196059297EAB2B9,232994,2007-11-16 13:33:26.540,AA,36,Completed,2008-08-20 00:00:00,0.08102000000000001,0.0639,0.0639,,,,,,,4,NY,Professional,Full-time,155.0,True,True,783C3371218786870A73D20,2008-01-28 03:03:48.087000000,860.0,879.0,1991-05-28 00:00:00,7.0,6.0,27.0,5,15.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1367.0,0.03,37433.0,23.0,0.95,0.0,0.05,"$50,000-74,999",True,6200.0,6D1E3413014043017F878A5,,,,,,,,,0,,73,27126,1000,2008-02-05 00:00:00.000,Q1 2008,CD3A338433712094123D376,30.6,1032.03,1000.0,32.03,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,47,
68511,E9D83404496256722963441,233543,2007-11-18 00:23:39.070,C,36,Completed,2009-05-05 00:00:00,0.16680999999999999,0.1488,0.1388,,,,,,,7,OH,Other,Full-time,12.0,True,False,,2008-07-15 15:20:07.280000000,660.0,679.0,1998-11-01 00:00:00,9.0,7.0,17.0,6,40.0,13.0,21.0,0.0,0.0,1.0,0.0,0.0,4070.0,0.26,11030.0,15.0,0.68,2.0,0.03,"$25,000-49,999",True,3500.0,61483428565770489E86841,,,,,,,,,0,,67,35842,1000,2008-08-22 00:00:00.000,Q3 2008,BFE733799113495469CCF80,34.61,1091.59,1000.0,91.59,-6.16,0.0,0.0,0.0,0.0,1.0,0,0,0.0,42,
98154,CC5A34065927703561C6826,235081,2007-11-20 12:18:14.320,A,36,Completed,2011-01-09 00:00:00,0.11872,0.11,0.1,,,,,,,4,NY,Other,Retired,131.0,False,True,968F3378599835266CB3F15,2007-12-27 08:42:48.360000000,740.0,759.0,1986-04-01 00:00:00,5.0,4.0,35.0,7,24.0,1.0,2.0,1.0,222.0,14.0,1.0,0.0,235.0,0.04,5165.0,30.0,0.59,0.0,0.63,"$1-24,999",True,141.416667,3F1F3410618505874C32956,,,,,,,,,0,,74,25194,2000,2008-01-09 00:00:00.000,Q1 2008,DBE83395139177957C75E07,65.48,2357.32,2000.0,357.32,-32.48,0.0,0.0,0.0,0.0,1.0,1,0,0.0,62,
42729,93DB3406940860574EC61CB,238312,2007-11-27 11:53:47.183,D,36,Completed,2009-08-31 00:00:00,0.22744,0.22,0.21,,,,,,,3,NC,Other,Full-time,25.0,False,False,,2007-11-27 11:05:53.943000000,620.0,639.0,1997-10-15 00:00:00,9.0,6.0,16.0,4,132.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3815.0,0.47,4239.0,11.0,0.83,1.0,0.34,"$25,000-49,999",True,3750.0,6B27340770489720465114B,,,,,,,,,0,,75,23962,9700,2007-12-21 00:00:00.000,Q4 2007,1F65340316381560010E42A,370.45,12546.89,9700.0,2846.89,-129.4,0.0,0.0,0.0,0.0,1.0,0,0,0.0,222,
92130,ADC23407096965966B091D4,239776,2007-11-28 18:41:41.773,AA,36,Completed,2008-01-14 00:00:00,0.10943,0.1025,0.1025,,,,,,,4,MN,Sales - Commission,Full-time,2.0,True,False,,2007-11-28 18:33:29.560000000,820.0,839.0,1982-02-01 00:00:00,12.0,12.0,26.0,12,91.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,6830.0,0.07,85270.0,24.0,1.0,5.0,0.08,"$100,000+",True,11500.0,3D9E3409782612904CA522B,,,,,,,,,0,,75,24125,25000,2007-12-28 00:00:00.000,Q4 2007,5B5A3406323133042C95778,809.62,25119.35,25000.0,119.35,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,604,
36632,4E6F3405703973159FDFEA3,239881,2007-11-28 20:22:56.813,AA,36,Completed,2009-05-05 00:00:00,0.06576,0.059,0.049,,,,,,,7,MT,Other,Full-time,4.0,True,False,,2008-05-05 20:37:08.197000000,780.0,799.0,1996-02-02 00:00:00,11.0,11.0,20.0,9,140.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11403.0,0.29,26437.0,19.0,1.0,1.0,0.06,"$50,000-74,999",True,5000.0,8ACE3421431681097C7ED8E,,,,,,,,,0,,70,31087,2500,2008-05-14 00:00:00.000,Q2 2008,AFA13407158609313E7C0FE,75.94,2589.23,2500.0,89.23,-15.12,0.0,0.0,0.0,0.0,1.0,0,0,0.0,93,
50544,E88634059647681410DFC2B,241144,2007-11-30 11:16:18.750,AA,36,Completed,2010-01-13 00:00:00,0.06847,0.06,0.06,,,,,,,3,MA,Professional,Full-time,106.0,True,False,,2008-03-19 07:23:56.610000000,840.0,859.0,1997-06-10 00:00:00,6.0,6.0,22.0,4,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1348.0,0.02,57952.0,22.0,1.0,0.0,0.02,"$50,000-74,999",True,5000.0,8504341576274098351A827,,,,,,,,,0,,72,28947,2000,2008-03-27 00:00:00.000,Q1 2008,1CE1340744425865448DB86,60.84,2118.71,2000.0,118.71,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,105,
56498,C62D340631481702137C361,241264,2007-11-30 13:58:48.953,C,36,Completed,2009-06-01 00:00:00,0.26954,0.26,0.25,,,,,,,4,IL,Analyst,Full-time,162.0,True,False,,2007-12-06 07:15:32.207000000,660.0,679.0,1989-07-20 00:00:00,6.0,5.0,19.0,2,122.0,0.0,4.0,1.0,77.0,19.0,0.0,0.0,6861.0,0.87,989.0,17.0,0.5,1.0,0.08,"$75,000-99,999",True,7083.333333,EC8B3406996578460488422,,,,,,,,,0,,75,23610,2000,2007-12-13 00:00:00.000,Q4 2007,E1E83403221749876B97A0A,80.58,2490.37,2000.0,490.37,-18.86,0.0,0.0,0.0,0.0,1.0,0,0,0.0,34,
60404,C3CD3405732939570CEAE8F,241685,2007-12-01 08:51:32.057,AA,36,Completed,2009-12-15 00:00:00,0.08684,0.08,0.08,,,,,,,3,MS,Engineer - Mechanical,Full-time,78.0,False,False,,2007-12-01 08:44:05.077000000,780.0,799.0,1999-02-25 00:00:00,4.0,4.0,9.0,4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,0.07,14290.0,8.0,0.87,0.0,0.05,"$75,000-99,999",True,6250.0,5F0334082408288834427EE,,,,,,,,,0,,75,24013,9000,2007-12-24 00:00:00.000,Q4 2007,19543389321377303A7A4DA,282.03,10000.31,9000.0,1000.31,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,162,
27909,EF803405896687466DA4306,242292,2007-12-02 12:15:59.527,AA,36,Defaulted,2009-06-19 00:00:00,0.14709,0.14,0.14,,,,,,,3,NC,Analyst,Full-time,2.0,True,False,,2007-12-02 12:13:16.623000000,760.0,779.0,1999-08-14 00:00:00,10.0,9.0,26.0,7,203.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,12066.0,0.47,13134.0,26.0,1.0,1.0,0.27,"$50,000-74,999",True,5058.25,B443340831482400164F100,,,,,,,,,156,19.0,75,23744,12000,2007-12-18 00:00:00.000,Q4 2007,32F6340688768053431B165,410.13,5331.69,3761.91,1569.78,0.0,0.0,8238.08,8238.09,0.0,1.0,0,0,0.0,140,
101108,EFD634069852198176F41FB,242374,2007-12-02 14:22:26.220,B,36,Completed,2011-01-29 00:00:00,0.14709,0.14,0.13,,,,,,,4,FL,Other,Full-time,71.0,True,False,,2008-01-06 16:57:27.270000000,680.0,699.0,1976-10-01 00:00:00,21.0,17.0,55.0,14,927.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,37787.0,0.76,5848.0,52.0,0.76,2.0,0.23,"$100,000+",True,9166.666667,A78C3412085272065F27521,,,,,,,,,0,,74,26416,6500,2008-01-29 00:00:00.000,Q1 2008,D89C34058228235567B75FE,145.58,7831.82,6340.75,1491.07,-105.09,0.0,0.0,0.0,0.0,1.0,0,0,0.0,115,
29587,15E1340641888800829DD03,245214,2007-12-06 00:46:03.397,E,36,Chargedoff,2008-09-09 00:00:00,0.31994,0.3035,0.2935,,,,,,,3,NC,Analyst,Full-time,42.0,False,False,,2007-12-05 07:10:24.110000000,580.0,599.0,2007-02-13 00:00:00,5.0,5.0,5.0,4,20.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6168.0,0.88,816.0,5.0,1.0,2.0,0.17,"$1-24,999",True,1916.6666670000002,F4E93406988796169C013C7,,,,,,,,,2129,9.0,75,23463,1200,2007-12-11 00:00:00.000,Q4 2007,DD3534073747465978FD178,51.17,189.68,70.21,119.47,-3.94,0.0,1129.79,1129.79,0.0,1.0,0,0,0.0,22,
29894,E70834064902281366428D6,245221,2007-12-06 02:12:12.340,A,36,Completed,2010-12-14 00:00:00,0.127,0.12,0.11,,,,,,,2,IN,Other,Full-time,29.0,True,False,,2007-12-06 01:43:37.860000000,720.0,739.0,1997-09-26 00:00:00,7.0,7.0,24.0,2,34.0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,601.0,0.27,1599.0,15.0,0.66,2.0,0.15,"$25,000-49,999",True,4000.0,1C7F3408429471927795F1C,,,,,,,,,0,,75,23630,7500,2007-12-14 00:00:00.000,Q4 2007,F5B03382093744926B66520,246.69,8970.38,7500.0,1470.38,-122.54,0.0,0.0,0.0,0.0,1.0,1,0,0.0,274,
107453,D92634069584598949C6B20,245250,2007-12-06 04:42:04.247,D,36,Chargedoff,2010-07-19 00:00:00,0.22744,0.22,0.21,,,,,,,4,IL,Other,Full-time,70.0,False,False,,2007-11-28 08:55:17.923000000,620.0,639.0,1991-01-09 00:00:00,13.0,13.0,34.0,5,129.0,1.0,6.0,0.0,0.0,23.0,0.0,0.0,2508.0,0.79,579.0,27.0,0.7,1.0,0.26,"$50,000-74,999",True,5083.333333,8F3B3408087967364B273B7,,,,,,,,,1451,31.0,75,23841,5000,2007-12-20 00:00:00.000,Q4 2007,61F0340701801630258ED95,190.95,4949.7,3245.5,1704.2,-77.46,0.0,1754.48,1754.5,0.0,1.0,0,0,0.0,86,
58254,09853406088926407017A15,245317,2007-12-06 07:44:17.253,E,36,Completed,2008-08-06 00:00:00,0.34936,0.3333,0.3233,,,,,,,5,UT,Retail Management,Full-time,77.0,False,False,,2007-11-15 11:58:06.467000000,560.0,579.0,1998-12-02 00:00:00,22.0,17.0,44.0,13,245.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,7454.0,0.89,748.0,37.0,0.86,2.0,0.49,"$25,000-49,999",True,3687.5,BD1D3408856689234834C4D,1.0,12.0,12.0,0.0,0.0,9500.0,7151.45,0.0,0,,75,23784,3000,2007-12-18 00:00:00.000,Q4 2007,30433372058558035D63766,132.89,3544.24,3000.0,544.24,-16.32,0.0,0.0,0.0,0.0,1.0,0,0,0.0,38,
